age,mean_size,sd_size,n
842,1.0556,0.2357,18
843,1,0,41
844,1,0,28
845,1,0,6
846,1,0,32
847,1,0,30
848,1,0,15
849,1,0,20
850,1,0,10
851,1,0,20
852,1,0,34
853,1,0,28
854,1,0,14
855,1,0,17
856,1,0,9
857,1,0,16
858,1,0,39
859,1,0,18
860,1.0455,0.2132,22
861,1,0,20
862,1,0,24
863,1,0,17
864,1,0,29
865,1,0,8
866,1,0,3
867,2.45,6.4846,20
868,1.0417,0.2041,24
869,1,0,21
870,1.375,1.8371,24
871,1.05,0.2236,20
872,1,0,18
873,1,0,19
874,1,0,47
875,1,0,20
876,1,0,8
877,1,0,17
878,1.0345,0.1857,29
879,1,0,19
880,1,0,18
881,1,0,4
882,1,0,15
883,1,0,12
884,1,0,10
885,3.6,10.0698,15
886,1,0,79
887,1,0,28
888,1,0,17
889,1,0,25
890,1,0,22
891,1,0,26
892,1,0,14
893,1,0,12
894,1.0667,0.2582,15
895,1,0,24
896,1,0,21
897,1.037,0.1925,27
898,1,0,17
899,1,0,10
900,1,0,31
901,1,0,71
902,1,0,40
903,1,0,13
904,1,0,27
905,1,0,9
906,156.6667,660.4377,18
907,1,0,26
908,1,0,14
909,1,0,14
910,1,0,6
911,1,0,26
912,1,0,27
913,1,0,14
914,1,0,26
915,1,0,108
916,1,0,12
917,1,0,15
918,1,0,25
919,1.0435,0.2085,23
920,1,0,22
921,1,0,21
922,1,0,15
923,1,0,22
924,1,0,39
925,1,0,16
926,1,0,29
927,1,0,23
928,1,0,18
929,1,0,36
930,1,0,16
931,1,0,55
932,1,0,24
933,1,0,19
934,1,0,55
935,1,0,12
936,1,0,26
937,1.1,0.3162,10
938,1,0,6
939,1,0,14
940,1,0,14
941,1,0,31
942,1,0,15
943,1,0,20
944,1,0,15
945,1,0,19
946,1,0,17
947,1,0,6
948,1,0,19
949,1,0,19
950,1.037,0.1925,27
951,1,0,15
952,1,0,22
953,1,0,58
954,1,0,25
955,1,0,1
956,1,0,35
957,1,0,13
958,1,0,14
959,1,0,11
960,1,0,20
961,1,0,4
962,1,0,24
963,1,0,16
964,1,0,18
965,1,0,19
966,1,0,21
967,1,0,13
968,1,0,18
969,1,0,21
970,1,0,44
971,1,0,22
972,10.4545,31.3572,11
973,1,0,55
974,1,0,15
975,1,0,11
976,1,0,17
977,1,0,14
978,1,0,16
979,1.0417,0.2041,24
980,1,0,17
981,1,0,24
982,1,0,15
983,1,0,3
984,1,0,14
985,1,0,24
986,1,0,12
987,1,0,17
988,1,0,16
989,1,0,54
990,1,0,7
991,1,0,12
992,1,0,21
993,1,0,21
994,1,0,8
995,1,0,13
996,1,0,11
997,1,0,13
998,1,0,15
999,1,0,7
1000,1,0,23
1001,1,0,19
1002,1,0,14
1003,1,0,6
1004,1,0,4
1005,1,0,8
1006,1,0,11
1007,1,0,9
1008,1,0,22
1009,1,0,16
1010,1,0,21
1011,1,0,18
1012,1,0,22
1013,1,0,19
1014,1,0,11
1015,1,0,21
1016,1,0,17
1017,1,0,8
1018,1,0,24
1019,1,0,10
1020,1,0,12
1021,1,0,7
1022,1,0,27
1023,1,0,12
1024,1,0,6
1025,1.0667,0.2582,15
1026,1,0,13
1027,1,0,5
1028,1,0,20
1029,1,0,18
1030,1,0,14
1031,1,0,18
1032,1,0,15
1033,1,0,4
1034,1,0,14
1035,1,0,12
1036,1,0,8
1037,1,0,8
1038,1,0,14
1039,1,0,63
1040,1,0,8
1041,1,0,1
1042,1,0,10
1043,1,0,13
1044,1,0,4
1045,1,0,5
1046,1,0,11
1047,1,0,10
1048,1,0,11
1049,1,0,13
1050,1,0,12
1051,1,0,15
1052,1,0,15
1053,1,0,8
1054,1,0,4
1055,1,0,13
1056,1,0,18
1057,1,0,10
1058,1,0,6
1059,1,0,14
1060,1,0,34
1061,1,0,19
1062,1,0,20
1063,1,0,20
1064,1,0,11
1065,1,0,16
1066,1,0,10
1067,1,0,29
1068,1,0,7
1069,1,0,5
1070,1,0,20
1071,1,0,17
1072,1,0,16
1073,1,0,9
1074,1,0,9
1075,1,0,10
1076,1,0,17
1077,1,0,15
1078,1,0,12
1079,1,0,10
1080,1,0,21
1081,1,0,17
1082,1,0,12
1083,1,0,24
1084,1,0,15
1085,1,0,15
1086,1,0,8
1087,1,0,23
1088,1,0,24
1089,1,0,4
1090,1,0,9
1091,1,0,6
1092,1,0,19
1093,1,0,8
1094,1,0,13
1095,1,0,10
1096,1,0,20
1097,1,0,6
1098,1,0,24
1099,1,0,9
1100,1,0,17
1101,1,0,8
1102,1,0,12
1103,1,0,11
1104,1,0,10
1105,1,0,12
1106,1,0,12
1107,1,0,14
1108,1.0455,0.2132,22
1109,1,0,13
1110,1,0,8
1111,1,0,10
1112,1,0,25
1113,1,0,16
1114,1,0,3
1115,1,0,14
1116,1,0,17
1117,1,0,5
1118,1,0,12
1119,1,0,1
1120,1,0,10
1121,1,0,16
1122,1,0,16
1123,1,0,12
1124,1,0,19
1125,1,0,5
1126,1,0,7
1127,1,0,16
1128,1,0,2
1129,1,0,13
1130,1,0,5
1131,1,0,8
1132,1,0,10
1133,1,0,6
1134,1,0,14
1135,1,0,14
1136,1,0,15
1137,1,0,7
1138,1,0,17
1139,1,0,14
1140,1,0,7
1141,1,0,7
1142,1,0,7
1143,1,0,12
1144,1,0,38
1145,1,0,9
1146,1,0,13
1147,1,0,6
1148,1,0,10
1149,1.0769,0.2774,13
1150,1,0,8
1151,1,0,4
1152,1,0,9
1153,1,0,8
1154,1,0,11
1155,1,0,16
1156,1,0,16
1157,1,0,15
1158,1,0,22
1159,1,0,7
1160,1,0,8
1161,1,0,7
1162,1,0,14
1163,1,0,2
1164,1,0,38
1165,1,0,14
1166,1,0,29
1167,1,0,11
1168,1,0,7
1169,1,0,5
1170,1,0,12
1171,1,0,22
1172,1,0,10
1173,1,0,14
1174,1,0,11
